time	V(in)	V(out)	V(out)*(Id(M1)+Id(M2))
6.080018750000002e+000	1.000000e+000	1.285172e+000	2.569869e-005
6.097237500000002e+000	1.000000e+000	1.285174e+000	2.569826e-005
6.114456250000003e+000	1.000000e+000	1.285167e+000	2.569971e-005
6.131675000000003e+000	1.000000e+000	1.285151e+000	2.570303e-005
7.010000000000000e+000	1.000000e+000	1.285151e+000	2.570303e-005
7.011000000000000e+000	9.000000e-001	1.341044e+000	2.204119e-005
7.013000000000000e+000	7.000000e-001	1.515346e+000	1.579192e-005
7.016000000000000e+000	4.000000e-001	1.698996e+000	7.474513e-006
7.020000000000000e+000	4.352074e-014	1.800027e+000	-1.749449e-009
7.020400000000000e+000	0.000000e+000	1.800077e+000	-4.993195e-009
7.022799999999999e+000	0.000000e+000	1.800000e+000	1.157244e-011
8.000000000000000e+000	0.000000e+000	1.800000e+000	1.299600e-011
8.000953125000001e+000	9.531250e-002	1.794147e+000	6.508103e-007
8.002859375000000e+000	2.859375e-001	1.753725e+000	3.976990e-006
8.006187499999999e+000	6.187500e-001	1.585263e+000	1.415129e-005
8.010000000000000e+000	1.000000e+000	1.285103e+000	2.571303e-005
8.011143750000001e+000	1.000000e+000	1.285074e+000	2.571909e-005
8.028362500000000e+000	1.000000e+000	1.285112e+000	2.571118e-005
8.045581250000002e+000	1.000000e+000	1.285141e+000	2.570515e-005
8.062800000000001e+000	1.000000e+000	1.285161e+000	2.570098e-005
8.080018750000003e+000	1.000000e+000	1.285172e+000	2.569869e-005
8.097237500000002e+000	1.000000e+000	1.285174e+000	2.569826e-005
8.114456250000004e+000	1.000000e+000	1.285167e+000	2.569971e-005
8.131675000000003e+000	1.000000e+000	1.285151e+000	2.570303e-005
9.010000000000000e+000	1.000000e+000	1.285151e+000	2.570303e-005
9.010999999999999e+000	9.000000e-001	1.341044e+000	2.204119e-005
9.013000000000000e+000	7.000000e-001	1.515346e+000	1.579192e-005
9.016000000000000e+000	4.000000e-001	1.698996e+000	7.474513e-006
9.020000000000000e+000	4.352074e-014	1.800027e+000	-1.749449e-009
9.020399999999999e+000	0.000000e+000	1.800077e+000	-4.993195e-009
9.022799999999998e+000	0.000000e+000	1.800000e+000	1.157244e-011
1.000000000000000e+001	0.000000e+000	1.800000e+000	1.299600e-011
1.000095312500000e+001	9.531250e-002	1.794147e+000	6.508103e-007
1.000285937500000e+001	2.859375e-001	1.753725e+000	3.976990e-006
1.000618750000000e+001	6.187500e-001	1.585263e+000	1.415129e-005
1.001000000000000e+001	1.000000e+000	1.285103e+000	2.571303e-005
1.001114375000000e+001	1.000000e+000	1.285074e+000	2.571909e-005
1.002836250000000e+001	1.000000e+000	1.285112e+000	2.571118e-005
1.004558125000000e+001	1.000000e+000	1.285141e+000	2.570515e-005
1.006280000000000e+001	1.000000e+000	1.285161e+000	2.570098e-005
1.008001875000000e+001	1.000000e+000	1.285172e+000	2.569869e-005
1.009723750000000e+001	1.000000e+000	1.285174e+000	2.569826e-005
1.011445625000000e+001	1.000000e+000	1.285167e+000	2.569971e-005
1.013167500000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.101000000000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.101100000000000e+001	9.000000e-001	1.341044e+000	2.204119e-005
